IGKC	16.049129974285716	16.30599146	13.70141477	14.1704728	13.68474862	15.03183041	17.507989090000002	20.42337139	22.019564351999996	18.83425936111111	20.424744178571427	18.27985085	17.34083241	16.99237412	18.34886116285714	18.36461774	17.71176778	17.42202369	18.02783582	18.08970392	17.4169212	17.65307269	15.48645796	17.46560788875	17.465856862857144	17.64386323	20.08160956	20.04059608	20.84751084	20.66144845	21.05397691	20.64473735	20.77820309	20.84068958	20.39372666	20.67745212	21.55126375	21.28483596	20.75041995	21.01024739	19.54030402	18.22877642	20.712019291111112	20.30763775	21.302690435000002	18.13260516	16.15149228	17.8708764
EIF5A	19.57158046	17.19528569	18.01656348	18.75290653	14.416422426	15.96259149	16.232087865999997	17.351836098	15.96183401	16.993369650000002	18.87768854	19.45111249	23.50712306	26.05335074	27.47251026	27.87361384	27.82262315	27.41401355	27.63947983	27.37484369	27.28947242	26.31427042	25.37338403	24.80109461	24.66025106	24.71229866	25.10417613	25.07777577	25.05502789	25.0505512	25.09385922	24.55835817	24.72385136	24.94525418	25.01120272	24.79956389	24.18646498	23.86891306	23.87577119	24.71277094	25.60591625	24.95766043	26.06956386	28.39566501	26.34336766	25.26538588	23.90976429	22.57195836
HRG	14.08812569	13.742759563333335	13.901798818571427	14.531291936666667	13.43970105	14.12759137	11.18481337	15.99903107	17.47849315	20.92636622	22.25037736	22.84781608	23.3869288	22.86523581	22.96939021	22.61087998	22.02052459	20.86657639	21.20436875	21.13839993	21.41843789	20.50339195	19.95020417	20.07352576	19.87883973	19.83696722	20.0270218	19.6984622	19.99769359	19.56595924	19.65254916	19.03808038	18.55689892	19.39935095	19.24004828	19.69486285	18.66629683	18.54732761	19.32564583	18.44302042	17.76584938	18.96107376	19.6317437	22.13448805	20.29131574	17.81259724	15.90588054	14.44158255
ACADL	18.45133589	16.65159832	15.6805793	13.0883557955	15.75007886	14.523210419999998	16.15406651	15.60264088	14.59339112	19.4602819	16.4283111	17.45599807857143	15.6891244	14.509818052	16.01820018	15.647979543333335	15.047911977142856	15.067327569999998	14.796737113749998	16.25412439	21.0098375	14.9980174	15.85540384	14.74251997	18.82305308	16.18218094	15.43875937	17.09146638	21.68453162	23.73943875	24.92075305	24.65796392	23.9765747	22.9513596	21.90914195	20.78970955	19.09566229	17.67114711	14.81001927	17.365689413000002	15.6408945	16.849739418000002	18.54676261	19.1753863	21.212429256249997	17.87141799	18.46746625	16.48746324
SERPINA3K	19.05287845	18.38068512	17.13150533	16.72495344	14.8110736	17.54148235	21.96448083	24.30514725	26.39644919	29.83513413	30.57632616	29.60791356	27.20032109	25.65869944	25.45560092	25.31254042	24.55888363	23.30952534	23.53931325	23.35353252	23.61369247	22.83780519	22.76731098	22.71989951	21.81944511	21.97931668	22.52590237	22.18758314	22.01403307	21.87143491	23.01142468	22.83451059	21.94799393	20.86370611	21.47466896	21.01998226	21.06085225	18.75058596	19.74103405	19.94106051	20.46144048	20.95184033	22.33082198	23.81391826	21.69574527	20.3206959	18.99488098	17.47104803
PALMD	13.18702724	13.46637533	14.454444165	14.8776197025	12.320483665000001	13.493896032571428	14.749495282500002	17.370919476250002	18.085791983749996	13.77879583	23.93003498	25.06521433	23.66003344	22.28976816	22.2189525	21.71120693	22.18316679	21.77402492	21.35137764	21.08167392	21.78488601	21.33707142	19.58090075	20.66847732	18.63846066	19.22256145	17.71733504	19.397221299999998	19.287193336999998	17.80757504	15.75272037	18.17933085	15.49800772	15.71099472	17.5628014	17.4349458	14.43872689	16.6669313	16.18247195	16.7620316	17.6721836	17.80631676	17.59638633	20.080779661111112	17.95578043	16.47676202	17.42735377	16.773796
NA..12	17.82960507	11.99594377	13.51113493	15.342377632	15.369232423333335	12.13005568	20.18022605	22.20239678	24.48419162	26.52807145	27.00817043	27.0486402	25.47500262	23.70883057	24.27419449	24.42681608	24.4715959	24.12841172	25.10597503	24.92519769	24.57974642	22.77725953	23.01147587	23.31548032	23.30688622	23.69296034	23.59559634	22.84222468	22.87936581	22.39320216	22.22646894	21.3913679	21.22846701	21.4032248	21.62765188	20.91634091	20.19484461	19.41408853	18.5834758	20.70674641	20.1541271	19.96803814	21.86744353	23.97954321	21.22281907	18.51645797	16.21856324	15.30081727
PDIA4	15.504682955000002	13.25502857	11.42164409	14.73073547	9.351888882	14.87896093	16.05458312	17.46100774	15.71585477	18.3249672	20.27968879	19.91717246	17.80108311	16.25098303	15.34613279	17.701191434285715	14.37910757	15.64726166	18.72979664	21.02249041	24.14148984	24.48376123	23.92994471	23.5802642	22.94118465	22.52905231	22.07044888	20.70539699	20.43705407	19.71640921	18.77709796	17.46850473	17.72461377	17.02886652	17.24869663	16.91322836	17.0241116	16.12622048	16.74018921	17.10329805	16.31201433	15.69465715	16.39563454	19.26707698	16.04695345	15.10607214	15.74677672	13.7162680025
PDZK1	16.20501992	15.547563938333335	16.150845748000002	12.43798609	13.57811126	13.02439518	17.891493	17.25535135	18.14808428	19.33619053	17.29751637	13.65798828	14.96718122	16.752852834444443	17.553704333333332	17.453949098749998	16.398608307777778	16.13795599777778	14.87838625	11.4694892	19.58884454	19.29286756	18.77169257	18.50219082	20.21454324	21.77563319	21.60399436	19.70581966	18.61414546	17.84892241	17.31858694	17.23716327	17.14749313	17.2828441	16.66928648	17.44670371	17.7516029	19.0041848	17.92579201	19.13616256	17.92654503	16.89179557	19.26533805	20.63058798	16.34325513	16.75157032777778	11.79055214	13.603341163666665
YARS	13.08429352	14.04669772	18.60378932	18.5854944	14.82172416	19.36835086	17.40391908	15.19779261	15.15046131	25.17569455	25.48802867	22.26547913	17.81791425	15.41309898	14.18858885	14.29433356	14.89410723	13.38761349	16.057569946666664	16.20181334142857	12.43342896	16.63005241833333	16.85319966333333	17.472446095714286	10.88424685	17.06245728	20.34223639	20.05986329	18.54710163	20.58747081	23.63145341	22.79197543	22.91322051	24.70651378	23.35675943	22.81550233	23.71764223	22.72029624	23.72733562	23.49338359	21.23777305	21.23765637	24.24474192	23.65589152	19.71490117	15.62966967	13.92230565	15.610630926666666
