RBM8A	27.66939051	26.48060619	26.96763226	26.79773474	26.77052034	26.33982187	25.29224888	26.09561063	25.34068791	26.0329245	26.58405506	26.28614415	26.73117399	26.53703327	25.94022128	25.75709982	23.43949003	26.23439938	23.78725933	24.62131501	24.66941754	23.4806216	23.96763226	23.79768527	23.77052034	23.33987283	22.29224186	23.09561465	22.34068791	23.0329329	23.58405506	23.28616178	23.73117399	23.5370629	22.9402168	22.75711	20.43949003	23.23439938	20.7872394	21.62131501
SLC39A7	28.42001127	27.7389879	27.83605267	28.12134372	28.37509234	27.44347932	27.84230123	27.08658915	26.86124123	26.58978005	27.33330142	26.2696542	25.76688634	25.95267069	27.21066837	22.91765179	26.210947	27.04947136	26.71187867	25.76448389	24.96057966	24.27951763	24.37663309	24.66188246	24.91565658	23.98398446	24.38284563	23.62722839	23.40184511	23.13039271	23.87389539	22.81021545	22.30744209	22.49326129	23.75123675	19.45823838	22.75150238	23.59012283	23.25241424	22.30504974
IGKV17.127	25.12257842	21.25014572	22.86574535	23.833468902499998	22.2282609	23.69125859111111	22.68097411	23.66968786	21.67189173	20.55534181	25.57896943	22.13702364	23.77243459	28.06896963	23.725155710000003	25.60263544	21.93458620125	23.82987368	22.177514836	26.24381624	24.12257842	20.25014572	21.86574535	21.465583	21.22823154	21.335022109999997	21.68097411	22.66968786	20.67193491	19.55530436	24.57894065	21.13702364	22.77245473	27.06896963	21.245425556	24.60263544	19.634758183749998	22.82991238	19.814765788	25.24379808
IGKV5.39	24.50209222	25.05730232	27.72643927	25.09575145	25.9134897	24.74124025	24.68837838	24.683372778000003	26.68952521	25.08881444	22.61636487	25.51716211	26.18544441	25.03431067	25.41754274	26.21942867	23.30799788	26.40786924	24.87595853	24.58634779	22.91714186	23.47233982	26.14147027	23.51074872	24.32855003	23.1562726	23.10343189	22.086904626	25.10453605	23.50385194	21.03140237	23.93219961	24.60048191	23.44934817	23.83258024	24.63444771	21.7230076	24.82289054	23.29094917	23.00135665
IGKV8.28	20.07378593	21.059940529999995	21.8496672025	22.418557593333333	23.43581828	19.42322673	21.5760865	21.83265742	21.760051295	19.11207292	19.72465707	24.080490891428575	23.68602854	25.0055173	22.03409233	25.17138665	22.55992224	25.91501826	22.23374137	23.6027487	17.7519232	17.42402939333333	18.27273228	18.951610966666664	20.138880712857144	17.10133968	18.077368968000002	18.48244984	18.338463645	16.79017029	17.40274562	20.739819187142853	21.36410045	22.68356779	19.71216424	22.84945855	20.23794748	23.59309017	19.91181327	21.28087723
IGKV8.27	23.881045951111112	22.51996869625	23.012382667142855	22.62984063625	22.904856494444445	21.45808815	20.00030816	19.24588226	21.968854596	22.221726490000002	23.81782605	23.76718952	22.65503976	25.80604588	22.22952296	24.88994728	23.64614381	22.12855323	24.62578018	24.39322809	20.90222411222222	19.58404944375	20.13162390571429	19.693921550000002	20.007927255555554	19.13613502	17.67844884	16.92393096	18.844631701999997	19.402696675999998	21.49589796	21.44531195	20.33308982	23.48406861	19.90759486	22.56799598	21.32416076	19.80662514	22.30387995	22.07129999
IGKV6.13	24.09836434	23.78994749	20.94184714	21.83695798	23.787227770000005	22.827358756250003	22.79376205	22.87567808	22.821403462857145	22.74172372	27.33832631	28.237767	27.34874598	29.34070489	26.57773123	25.90368679	27.41288366	27.25628918	21.77739981	27.65826357	21.77647641	21.46796966	18.61991904	19.51502989	20.912760187142858	19.67627094125	20.47179427	20.119637405000002	19.841645175714287	20.41977506	25.01639821	25.91586169	25.02681789	27.01881923	24.25580313	23.58175869	25.09095556	24.93436109	19.45547171	25.33636953
IGKC	26.69365157	25.88997048	25.63009267	25.39047548	27.62505553	26.429069169999998	26.04414361	24.01979499	25.83378689	26.29871245	29.15390463	26.07400243	27.09778188	28.46349581	27.21484217	29.00514783	26.06659033	29.92138879	29.02416716	29.02796748	24.69365157	23.88994728	23.63012045	23.39047548	25.62505553	24.4290532	24.04410191	22.01981195	23.83383514	24.29872993	27.15392879	24.07398201	25.09780196	26.46349581	25.21486069	27.00517461	24.06661086	27.92133203	27.02422001	27.02802019
IGHG2B	26.61048556	26.1552421	26.23279037	24.65812735	29.64531593	26.45763738	26.76951181	26.52275428	26.75327878	27.33330142	27.89000528	27.57007689	27.5676131	29.83511907	27.71423923	28.22425831	26.9599167	29.62672725	27.07928229	28.31211622	23.02550053	22.57029118	22.64781324	21.07319754	26.06035686	22.87267488	23.1846048	22.93779477	23.16827547	23.74827066	24.30500798	23.98511439	23.9826796	26.25015657	24.12927673	24.63931421	23.37491	26.04176475	23.49436049	24.72712774
IGHG1	27.55859167	27.37799024	24.01486705	26.37421355	28.45269785	27.76192532	28.61908423	27.78749599	27.32070512	27.64567668	28.39701253	27.52746006	28.85611388	29.3106003	27.37674899	28.78624998	26.99118343	31.21511999	29.24161325	27.08304183	23.85813736	23.67755879	20.3144018	22.67376885	24.75225813	24.06151095	24.91866201	24.08707496	23.62030844	23.94520948	24.69657282	23.82706509	25.15564744	25.61014758	23.67626788	25.0857791	23.290668	27.51465134	25.5411758	23.38258181
IGHG3	25.2525947	25.47506445	25.34823945	24.79639852	25.06274645	25.56508697	26.06184052	25.60212569	25.82011701	26.3343078	26.78618765	28.32847299	28.41856444	26.51911359	28.1969492	27.17655074	26.40168239	26.36106737	27.79594046	27.15392879	21.44526143	21.66769716	21.54089803	20.9890535	21.25539977	21.75772042	22.2545062	21.79479342	22.01277183	22.52695288	22.97882774	24.52109239	24.61121756	22.71175266	24.38962241	23.36919582	22.59432096	22.55370241	23.98858553	23.34665115
