MSH3	21.40296468	19.56421091	15.97338347	17.24256939	23.27412346
TARDBP.1	22.56181117	20.74427297	18.284251318571428	20.94227752	23.93607005
DOCK10	18.19701027	19.86045201	17.66948718	18.45238202	21.63094296
EDEM3	12.71921767	12.68420071	21.24759901	20.60041476	16.85770162
XRN1	21.76522822	20.64737498	21.9729521	21.17676057	21.55599751
KTN1.1	22.84105387	22.64506666	24.61453513	24.32044698	25.68110286
TNS1	27.26561835	28.3880462	23.14359325	24.03523414	27.48953
BZW1	22.24916236	22.51737264	26.28222495	25.22302482	24.47444573
ATP5G2	21.18549795	24.00264482	26.9232038	29.04744456	26.77906447
CASP8	17.81460124	19.52903967	26.12986628	24.38745474	21.0217452
RALGPS2	14.02089315	17.22647805	22.01716352	20.59550609	20.02756183
FN1	29.53565843	29.5962825	26.45411089	26.11666206	29.83391353
DAP	18.16192408	17.542802562	23.82493088	22.35116166	19.40341361
ATF7IP	19.94249303	18.25040483	18.9612999	18.48966376	20.248758
SULF1	20.13445766	20.62408593	18.292011922857142	19.19599931	21.14942029
MNDAL	22.18954499	20.77868436	19.87797156	20.1682767	24.99623594
NUDT16	22.84343288	21.4266502	24.76915871	23.54874961	24.16399917
ADHFE1	24.28270223	22.38887419	27.65608243	29.061444	26.60016996
AGAP1	16.02154392	19.24179467	19.85399632	19.05147184	19.62485434
ITM2C	21.89618937	23.49277261	24.28397407	21.31135641	23.59559634
ZFP383	19.564787720000002	20.42296096	17.8662949	17.72614497	20.48325782
SRRM2	18.74301001	18.47548408	16.00454076	16.42506835	19.69881825
FARSB	15.17656276	18.09058283	21.3874815	21.36500933	21.14133446
FN1.1	24.16790819	23.49154989	20.65000779	19.99617692	23.78656169
STAT1	23.20743993	24.44354261	26.11406226	24.80316588	26.69072442
GCDH	30.14503737	27.91558821	31.01816925	32.22371762	31.40049802
SLC25A35	18.08441914	20.1061041	20.91699686	22.22264192	21.788475
KMT2D	21.06874483	19.26757996	15.3327359	17.27121679	22.84760584
ACTR5	24.15475948	23.37676568	20.06302767	17.18534973	24.32964533
